StartTime,EndTime,AreaID,UnitName,PsrType,quantity
2022-06-30T23:45+00:00Z,2022-07-01T00:00+00:00Z,10Y1001A1001A83F,MAW,B19,11781
2022-07-01T00:00+00:00Z,2022-07-01T00:15+00:00Z,10Y1001A1001A83F,MAW,B19,11535
2022-07-01T00:15+00:00Z,2022-07-01T00:30+00:00Z,10Y1001A1001A83F,MAW,B19,11364
2022-07-01T00:30+00:00Z,2022-07-01T00:45+00:00Z,10Y1001A1001A83F,MAW,B19,11272
2022-07-01T00:45+00:00Z,2022-07-01T01:00+00:00Z,10Y1001A1001A83F,MAW,B19,11199
2022-07-01T01:00+00:00Z,2022-07-01T01:15+00:00Z,10Y1001A1001A83F,MAW,B19,10955
2022-07-01T01:15+00:00Z,2022-07-01T01:30+00:00Z,10Y1001A1001A83F,MAW,B19,10715
2022-07-01T01:30+00:00Z,2022-07-01T01:45+00:00Z,10Y1001A1001A83F,MAW,B19,10656
2022-07-01T01:45+00:00Z,2022-07-01T02:00+00:00Z,10Y1001A1001A83F,MAW,B19,10483
2022-07-01T02:00+00:00Z,2022-07-01T02:15+00:00Z,10Y1001A1001A83F,MAW,B19,10149
2022-07-01T02:15+00:00Z,2022-07-01T02:30+00:00Z,10Y1001A1001A83F,MAW,B19,10129
2022-07-01T02:30+00:00Z,2022-07-01T02:45+00:00Z,10Y1001A1001A83F,MAW,B19,10388
2022-07-01T02:45+00:00Z,2022-07-01T03:00+00:00Z,10Y1001A1001A83F,MAW,B19,10785
2022-07-01T03:00+00:00Z,2022-07-01T03:15+00:00Z,10Y1001A1001A83F,MAW,B19,11120
2022-07-01T03:15+00:00Z,2022-07-01T03:30+00:00Z,10Y1001A1001A83F,MAW,B19,11076
2022-07-01T03:30+00:00Z,2022-07-01T03:45+00:00Z,10Y1001A1001A83F,MAW,B19,11302
2022-07-01T03:45+00:00Z,2022-07-01T04:00+00:00Z,10Y1001A1001A83F,MAW,B19,11119
2022-07-01T04:00+00:00Z,2022-07-01T04:15+00:00Z,10Y1001A1001A83F,MAW,B19,11131
2022-07-01T04:15+00:00Z,2022-07-01T04:30+00:00Z,10Y1001A1001A83F,MAW,B19,11003
2022-07-01T04:30+00:00Z,2022-07-01T04:45+00:00Z,10Y1001A1001A83F,MAW,B19,10927
2022-07-01T04:45+00:00Z,2022-07-01T05:00+00:00Z,10Y1001A1001A83F,MAW,B19,10404
2022-07-01T05:00+00:00Z,2022-07-01T05:15+00:00Z,10Y1001A1001A83F,MAW,B19,10576
2022-07-01T05:15+00:00Z,2022-07-01T05:30+00:00Z,10Y1001A1001A83F,MAW,B19,10323
2022-07-01T05:30+00:00Z,2022-07-01T05:45+00:00Z,10Y1001A1001A83F,MAW,B19,10115
2022-07-01T05:45+00:00Z,2022-07-01T06:00+00:00Z,10Y1001A1001A83F,MAW,B19,10024
2022-07-01T06:00+00:00Z,2022-07-01T06:15+00:00Z,10Y1001A1001A83F,MAW,B19,9595
2022-07-01T06:15+00:00Z,2022-07-01T06:30+00:00Z,10Y1001A1001A83F,MAW,B19,9436
2022-07-01T06:30+00:00Z,2022-07-01T06:45+00:00Z,10Y1001A1001A83F,MAW,B19,9252
2022-07-01T06:45+00:00Z,2022-07-01T07:00+00:00Z,10Y1001A1001A83F,MAW,B19,9101
2022-07-01T07:00+00:00Z,2022-07-01T07:15+00:00Z,10Y1001A1001A83F,MAW,B19,8853
2022-07-01T07:15+00:00Z,2022-07-01T07:30+00:00Z,10Y1001A1001A83F,MAW,B19,8517
2022-07-01T07:30+00:00Z,2022-07-01T07:45+00:00Z,10Y1001A1001A83F,MAW,B19,8179
2022-07-01T07:45+00:00Z,2022-07-01T08:00+00:00Z,10Y1001A1001A83F,MAW,B19,7957
2022-07-01T08:00+00:00Z,2022-07-01T08:15+00:00Z,10Y1001A1001A83F,MAW,B19,8046
2022-07-01T08:15+00:00Z,2022-07-01T08:30+00:00Z,10Y1001A1001A83F,MAW,B19,8098
2022-07-01T08:30+00:00Z,2022-07-01T08:45+00:00Z,10Y1001A1001A83F,MAW,B19,8199
2022-07-01T08:45+00:00Z,2022-07-01T09:00+00:00Z,10Y1001A1001A83F,MAW,B19,8364
2022-07-01T09:00+00:00Z,2022-07-01T09:15+00:00Z,10Y1001A1001A83F,MAW,B19,8704
2022-07-01T09:15+00:00Z,2022-07-01T09:30+00:00Z,10Y1001A1001A83F,MAW,B19,8947
