StartTime,EndTime,AreaID,UnitName,PsrType,quantity
2022-06-30T23:00+00:00Z,2022-07-01T00:00+00:00Z,10Y1001A1001A65H,MAW,B19,485
2022-07-01T00:00+00:00Z,2022-07-01T01:00+00:00Z,10Y1001A1001A65H,MAW,B19,413
2022-07-01T01:00+00:00Z,2022-07-01T02:00+00:00Z,10Y1001A1001A65H,MAW,B19,388
2022-07-01T02:00+00:00Z,2022-07-01T03:00+00:00Z,10Y1001A1001A65H,MAW,B19,396
2022-07-01T03:00+00:00Z,2022-07-01T04:00+00:00Z,10Y1001A1001A65H,MAW,B19,361
2022-07-01T04:00+00:00Z,2022-07-01T05:00+00:00Z,10Y1001A1001A65H,MAW,B19,340
2022-07-01T05:00+00:00Z,2022-07-01T06:00+00:00Z,10Y1001A1001A65H,MAW,B19,455
2022-07-01T06:00+00:00Z,2022-07-01T07:00+00:00Z,10Y1001A1001A65H,MAW,B19,659
2022-07-01T07:00+00:00Z,2022-07-01T08:00+00:00Z,10Y1001A1001A65H,MAW,B19,855
2022-07-01T08:00+00:00Z,2022-07-01T09:00+00:00Z,10Y1001A1001A65H,MAW,B19,831
2022-07-01T09:00+00:00Z,2022-07-01T10:00+00:00Z,10Y1001A1001A65H,MAW,B19,881
2022-07-01T10:00+00:00Z,2022-07-01T11:00+00:00Z,10Y1001A1001A65H,MAW,B19,1065
2022-07-01T11:00+00:00Z,2022-07-01T12:00+00:00Z,10Y1001A1001A65H,MAW,B19,1240
2022-07-01T12:00+00:00Z,2022-07-01T13:00+00:00Z,10Y1001A1001A65H,MAW,B19,1235
2022-07-01T13:00+00:00Z,2022-07-01T14:00+00:00Z,10Y1001A1001A65H,MAW,B19,1188
2022-07-01T14:00+00:00Z,2022-07-01T15:00+00:00Z,10Y1001A1001A65H,MAW,B19,1100
2022-07-01T15:00+00:00Z,2022-07-01T16:00+00:00Z,10Y1001A1001A65H,MAW,B19,864
2022-07-01T16:00+00:00Z,2022-07-01T17:00+00:00Z,10Y1001A1001A65H,MAW,B19,730
2022-07-01T17:00+00:00Z,2022-07-01T18:00+00:00Z,10Y1001A1001A65H,MAW,B19,689
2022-07-01T18:00+00:00Z,2022-07-01T19:00+00:00Z,10Y1001A1001A65H,MAW,B19,696
2022-07-01T19:00+00:00Z,2022-07-01T20:00+00:00Z,10Y1001A1001A65H,MAW,B19,657
2022-07-01T20:00+00:00Z,2022-07-01T21:00+00:00Z,10Y1001A1001A65H,MAW,B19,734
2022-07-01T21:00+00:00Z,2022-07-01T22:00+00:00Z,10Y1001A1001A65H,MAW,B19,895
2022-07-01T22:00+00:00Z,2022-07-01T23:00+00:00Z,10Y1001A1001A65H,MAW,B19,1024
2022-07-01T23:00+00:00Z,2022-07-02T00:00+00:00Z,10Y1001A1001A65H,MAW,B19,970
2022-07-02T00:00+00:00Z,2022-07-02T01:00+00:00Z,10Y1001A1001A65H,MAW,B19,895
2022-07-02T01:00+00:00Z,2022-07-02T02:00+00:00Z,10Y1001A1001A65H,MAW,B19,958
2022-07-02T02:00+00:00Z,2022-07-02T03:00+00:00Z,10Y1001A1001A65H,MAW,B19,955
2022-07-02T03:00+00:00Z,2022-07-02T04:00+00:00Z,10Y1001A1001A65H,MAW,B19,758
2022-07-02T04:00+00:00Z,2022-07-02T05:00+00:00Z,10Y1001A1001A65H,MAW,B19,672
2022-07-02T05:00+00:00Z,2022-07-02T06:00+00:00Z,10Y1001A1001A65H,MAW,B19,970
2022-07-02T06:00+00:00Z,2022-07-02T07:00+00:00Z,10Y1001A1001A65H,MAW,B19,1263
