StartTime,EndTime,AreaID,UnitName,PsrType,quantity
2022-06-30T23:00+00:00Z,2022-07-01T00:00+00:00Z,10YIT-GRTN-----B,MAW,B04,13962
2022-07-01T00:00+00:00Z,2022-07-01T01:00+00:00Z,10YIT-GRTN-----B,MAW,B04,13541
2022-07-01T01:00+00:00Z,2022-07-01T02:00+00:00Z,10YIT-GRTN-----B,MAW,B04,13353
2022-07-01T02:00+00:00Z,2022-07-01T03:00+00:00Z,10YIT-GRTN-----B,MAW,B04,13479
2022-07-01T03:00+00:00Z,2022-07-01T04:00+00:00Z,10YIT-GRTN-----B,MAW,B04,15479
2022-07-01T04:00+00:00Z,2022-07-01T05:00+00:00Z,10YIT-GRTN-----B,MAW,B04,17356
2022-07-01T05:00+00:00Z,2022-07-01T06:00+00:00Z,10YIT-GRTN-----B,MAW,B04,18343
2022-07-01T06:00+00:00Z,2022-07-01T07:00+00:00Z,10YIT-GRTN-----B,MAW,B04,18737
2022-07-01T07:00+00:00Z,2022-07-01T08:00+00:00Z,10YIT-GRTN-----B,MAW,B04,18715
2022-07-01T08:00+00:00Z,2022-07-01T09:00+00:00Z,10YIT-GRTN-----B,MAW,B04,18556
2022-07-01T09:00+00:00Z,2022-07-01T10:00+00:00Z,10YIT-GRTN-----B,MAW,B04,18415
2022-07-01T10:00+00:00Z,2022-07-01T11:00+00:00Z,10YIT-GRTN-----B,MAW,B04,18564
2022-07-01T11:00+00:00Z,2022-07-01T12:00+00:00Z,10YIT-GRTN-----B,MAW,B04,18336
2022-07-01T12:00+00:00Z,2022-07-01T13:00+00:00Z,10YIT-GRTN-----B,MAW,B04,18929
2022-07-01T13:00+00:00Z,2022-07-01T14:00+00:00Z,10YIT-GRTN-----B,MAW,B04,19448
2022-07-01T14:00+00:00Z,2022-07-01T15:00+00:00Z,10YIT-GRTN-----B,MAW,B04,18998
2022-07-01T15:00+00:00Z,2022-07-01T16:00+00:00Z,10YIT-GRTN-----B,MAW,B04,19261
2022-07-01T16:00+00:00Z,2022-07-01T17:00+00:00Z,10YIT-GRTN-----B,MAW,B04,19486
2022-07-01T17:00+00:00Z,2022-07-01T18:00+00:00Z,10YIT-GRTN-----B,MAW,B04,19352
2022-07-01T18:00+00:00Z,2022-07-01T19:00+00:00Z,10YIT-GRTN-----B,MAW,B04,19302
2022-07-01T19:00+00:00Z,2022-07-01T20:00+00:00Z,10YIT-GRTN-----B,MAW,B04,19264
2022-07-01T20:00+00:00Z,2022-07-01T21:00+00:00Z,10YIT-GRTN-----B,MAW,B04,18315
2022-07-01T21:00+00:00Z,2022-07-01T22:00+00:00Z,10YIT-GRTN-----B,MAW,B04,13398
2022-07-01T22:00+00:00Z,2022-07-01T23:00+00:00Z,10YIT-GRTN-----B,MAW,B04,12036
2022-07-01T23:00+00:00Z,2022-07-02T00:00+00:00Z,10YIT-GRTN-----B,MAW,B04,11032
2022-07-02T00:00+00:00Z,2022-07-02T01:00+00:00Z,10YIT-GRTN-----B,MAW,B04,10554
2022-07-02T01:00+00:00Z,2022-07-02T02:00+00:00Z,10YIT-GRTN-----B,MAW,B04,10117
2022-07-02T02:00+00:00Z,2022-07-02T03:00+00:00Z,10YIT-GRTN-----B,MAW,B04,9707
2022-07-02T03:00+00:00Z,2022-07-02T04:00+00:00Z,10YIT-GRTN-----B,MAW,B04,9707
2022-07-02T04:00+00:00Z,2022-07-02T05:00+00:00Z,10YIT-GRTN-----B,MAW,B04,9806
2022-07-02T05:00+00:00Z,2022-07-02T06:00+00:00Z,10YIT-GRTN-----B,MAW,B04,9417
2022-07-02T06:00+00:00Z,2022-07-02T07:00+00:00Z,10YIT-GRTN-----B,MAW,B04,9754
2022-07-02T07:00+00:00Z,2022-07-02T08:00+00:00Z,10YIT-GRTN-----B,MAW,B04,9039
2022-07-02T08:00+00:00Z,2022-07-02T09:00+00:00Z,10YIT-GRTN-----B,MAW,B04,8496
2022-07-02T09:00+00:00Z,2022-07-02T10:00+00:00Z,10YIT-GRTN-----B,MAW,B04,7892
2022-07-02T10:00+00:00Z,2022-07-02T11:00+00:00Z,10YIT-GRTN-----B,MAW,B04,7739
2022-07-02T11:00+00:00Z,2022-07-02T12:00+00:00Z,10YIT-GRTN-----B,MAW,B04,8138
2022-07-02T12:00+00:00Z,2022-07-02T13:00+00:00Z,10YIT-GRTN-----B,MAW,B04,8401
2022-07-02T13:00+00:00Z,2022-07-02T14:00+00:00Z,10YIT-GRTN-----B,MAW,B04,9539
2022-07-02T14:00+00:00Z,2022-07-02T15:00+00:00Z,10YIT-GRTN-----B,MAW,B04,11284
2022-07-02T15:00+00:00Z,2022-07-02T16:00+00:00Z,10YIT-GRTN-----B,MAW,B04,11588
2022-07-02T16:00+00:00Z,2022-07-02T17:00+00:00Z,10YIT-GRTN-----B,MAW,B04,12132
2022-07-02T17:00+00:00Z,2022-07-02T18:00+00:00Z,10YIT-GRTN-----B,MAW,B04,12027
2022-07-02T18:00+00:00Z,2022-07-02T19:00+00:00Z,10YIT-GRTN-----B,MAW,B04,12496
2022-07-02T19:00+00:00Z,2022-07-02T20:00+00:00Z,10YIT-GRTN-----B,MAW,B04,12784
2022-07-02T20:00+00:00Z,2022-07-02T21:00+00:00Z,10YIT-GRTN-----B,MAW,B04,12604
2022-07-02T21:00+00:00Z,2022-07-02T22:00+00:00Z,10YIT-GRTN-----B,MAW,B04,12152
2022-07-02T22:00+00:00Z,2022-07-02T23:00+00:00Z,10YIT-GRTN-----B,MAW,B04,11956
2022-07-02T23:00+00:00Z,2022-07-03T00:00+00:00Z,10YIT-GRTN-----B,MAW,B04,12514
2022-07-03T00:00+00:00Z,2022-07-03T01:00+00:00Z,10YIT-GRTN-----B,MAW,B04,12273
2022-07-03T01:00+00:00Z,2022-07-03T02:00+00:00Z,10YIT-GRTN-----B,MAW,B04,12010
2022-07-03T02:00+00:00Z,2022-07-03T03:00+00:00Z,10YIT-GRTN-----B,MAW,B04,11462
2022-07-03T03:00+00:00Z,2022-07-03T04:00+00:00Z,10YIT-GRTN-----B,MAW,B04,10631
2022-07-03T04:00+00:00Z,2022-07-03T05:00+00:00Z,10YIT-GRTN-----B,MAW,B04,10149
2022-07-03T05:00+00:00Z,2022-07-03T06:00+00:00Z,10YIT-GRTN-----B,MAW,B04,8697
2022-07-03T06:00+00:00Z,2022-07-03T07:00+00:00Z,10YIT-GRTN-----B,MAW,B04,7412
2022-07-03T07:00+00:00Z,2022-07-03T08:00+00:00Z,10YIT-GRTN-----B,MAW,B04,6845
2022-07-03T08:00+00:00Z,2022-07-03T09:00+00:00Z,10YIT-GRTN-----B,MAW,B04,6629
2022-07-03T09:00+00:00Z,2022-07-03T10:00+00:00Z,10YIT-GRTN-----B,MAW,B04,6668
2022-07-03T10:00+00:00Z,2022-07-03T11:00+00:00Z,10YIT-GRTN-----B,MAW,B04,6596
2022-07-03T11:00+00:00Z,2022-07-03T12:00+00:00Z,10YIT-GRTN-----B,MAW,B04,6886
2022-07-03T12:00+00:00Z,2022-07-03T13:00+00:00Z,10YIT-GRTN-----B,MAW,B04,7407
2022-07-03T13:00+00:00Z,2022-07-03T14:00+00:00Z,10YIT-GRTN-----B,MAW,B04,9058
2022-07-03T14:00+00:00Z,2022-07-03T15:00+00:00Z,10YIT-GRTN-----B,MAW,B04,11311
2022-07-03T15:00+00:00Z,2022-07-03T16:00+00:00Z,10YIT-GRTN-----B,MAW,B04,12636
2022-07-03T16:00+00:00Z,2022-07-03T17:00+00:00Z,10YIT-GRTN-----B,MAW,B04,14593
2022-07-03T17:00+00:00Z,2022-07-03T18:00+00:00Z,10YIT-GRTN-----B,MAW,B04,15191
2022-07-03T18:00+00:00Z,2022-07-03T19:00+00:00Z,10YIT-GRTN-----B,MAW,B04,15837
2022-07-03T19:00+00:00Z,2022-07-03T20:00+00:00Z,10YIT-GRTN-----B,MAW,B04,16018
2022-07-03T20:00+00:00Z,2022-07-03T21:00+00:00Z,10YIT-GRTN-----B,MAW,B04,16096
2022-07-03T21:00+00:00Z,2022-07-03T22:00+00:00Z,10YIT-GRTN-----B,MAW,B04,15074
2022-07-03T22:00+00:00Z,2022-07-03T23:00+00:00Z,10YIT-GRTN-----B,MAW,B04,14524
2022-07-03T23:00+00:00Z,2022-07-04T00:00+00:00Z,10YIT-GRTN-----B,MAW,B04,13876
2022-07-04T00:00+00:00Z,2022-07-04T01:00+00:00Z,10YIT-GRTN-----B,MAW,B04,13536
2022-07-04T01:00+00:00Z,2022-07-04T02:00+00:00Z,10YIT-GRTN-----B,MAW,B04,13366
2022-07-04T02:00+00:00Z,2022-07-04T03:00+00:00Z,10YIT-GRTN-----B,MAW,B04,14130
2022-07-04T03:00+00:00Z,2022-07-04T04:00+00:00Z,10YIT-GRTN-----B,MAW,B04,16503
2022-07-04T04:00+00:00Z,2022-07-04T05:00+00:00Z,10YIT-GRTN-----B,MAW,B04,18866
2022-07-04T05:00+00:00Z,2022-07-04T06:00+00:00Z,10YIT-GRTN-----B,MAW,B04,19491
2022-07-04T06:00+00:00Z,2022-07-04T07:00+00:00Z,10YIT-GRTN-----B,MAW,B04,19509
2022-07-04T07:00+00:00Z,2022-07-04T08:00+00:00Z,10YIT-GRTN-----B,MAW,B04,18899
2022-07-04T08:00+00:00Z,2022-07-04T09:00+00:00Z,10YIT-GRTN-----B,MAW,B04,19418
2022-07-04T09:00+00:00Z,2022-07-04T10:00+00:00Z,10YIT-GRTN-----B,MAW,B04,19703
2022-07-04T10:00+00:00Z,2022-07-04T11:00+00:00Z,10YIT-GRTN-----B,MAW,B04,19417
2022-07-04T11:00+00:00Z,2022-07-04T12:00+00:00Z,10YIT-GRTN-----B,MAW,B04,19438
2022-07-04T12:00+00:00Z,2022-07-04T13:00+00:00Z,10YIT-GRTN-----B,MAW,B04,19313
2022-07-04T13:00+00:00Z,2022-07-04T14:00+00:00Z,10YIT-GRTN-----B,MAW,B04,20557
2022-07-04T14:00+00:00Z,2022-07-04T15:00+00:00Z,10YIT-GRTN-----B,MAW,B04,21034
2022-07-04T15:00+00:00Z,2022-07-04T16:00+00:00Z,10YIT-GRTN-----B,MAW,B04,20936
2022-07-04T16:00+00:00Z,2022-07-04T17:00+00:00Z,10YIT-GRTN-----B,MAW,B04,20754
