StartTime,EndTime,AreaID,UnitName,PsrType,quantity
2022-06-30T23:45+00:00Z,2022-07-01T00:00+00:00Z,10YNL----------L,MAW,B18,1089
2022-07-01T00:00+00:00Z,2022-07-01T00:15+00:00Z,10YNL----------L,MAW,B18,1093
2022-07-01T00:15+00:00Z,2022-07-01T00:30+00:00Z,10YNL----------L,MAW,B18,1105
2022-07-01T00:30+00:00Z,2022-07-01T00:45+00:00Z,10YNL----------L,MAW,B18,1037
2022-07-01T00:45+00:00Z,2022-07-01T01:00+00:00Z,10YNL----------L,MAW,B18,1078
2022-07-01T01:00+00:00Z,2022-07-01T01:15+00:00Z,10YNL----------L,MAW,B18,1117
2022-07-01T01:15+00:00Z,2022-07-01T01:30+00:00Z,10YNL----------L,MAW,B18,1040
2022-07-01T01:30+00:00Z,2022-07-01T01:45+00:00Z,10YNL----------L,MAW,B18,995
2022-07-01T01:45+00:00Z,2022-07-01T02:00+00:00Z,10YNL----------L,MAW,B18,975
2022-07-01T02:00+00:00Z,2022-07-01T02:15+00:00Z,10YNL----------L,MAW,B18,992
2022-07-01T02:15+00:00Z,2022-07-01T02:30+00:00Z,10YNL----------L,MAW,B18,1058
2022-07-01T02:30+00:00Z,2022-07-01T02:45+00:00Z,10YNL----------L,MAW,B18,1205
2022-07-01T02:45+00:00Z,2022-07-01T03:00+00:00Z,10YNL----------L,MAW,B18,1283
2022-07-01T03:00+00:00Z,2022-07-01T03:15+00:00Z,10YNL----------L,MAW,B18,1221
2022-07-01T03:15+00:00Z,2022-07-01T03:30+00:00Z,10YNL----------L,MAW,B18,1212
2022-07-01T03:30+00:00Z,2022-07-01T03:45+00:00Z,10YNL----------L,MAW,B18,1217
2022-07-01T03:45+00:00Z,2022-07-01T04:00+00:00Z,10YNL----------L,MAW,B18,1212
2022-07-01T04:00+00:00Z,2022-07-01T04:15+00:00Z,10YNL----------L,MAW,B18,1178
2022-07-01T04:15+00:00Z,2022-07-01T04:30+00:00Z,10YNL----------L,MAW,B18,1118
2022-07-01T04:30+00:00Z,2022-07-01T04:45+00:00Z,10YNL----------L,MAW,B18,1084
2022-07-01T04:45+00:00Z,2022-07-01T05:00+00:00Z,10YNL----------L,MAW,B18,1138
2022-07-01T05:00+00:00Z,2022-07-01T05:15+00:00Z,10YNL----------L,MAW,B18,1195
2022-07-01T05:15+00:00Z,2022-07-01T05:30+00:00Z,10YNL----------L,MAW,B18,1208
2022-07-01T05:30+00:00Z,2022-07-01T05:45+00:00Z,10YNL----------L,MAW,B18,1161
2022-07-01T05:45+00:00Z,2022-07-01T06:00+00:00Z,10YNL----------L,MAW,B18,1145
2022-07-01T06:00+00:00Z,2022-07-01T06:15+00:00Z,10YNL----------L,MAW,B18,1136
2022-07-01T06:15+00:00Z,2022-07-01T06:30+00:00Z,10YNL----------L,MAW,B18,1088
2022-07-01T06:30+00:00Z,2022-07-01T06:45+00:00Z,10YNL----------L,MAW,B18,1052
2022-07-01T06:45+00:00Z,2022-07-01T07:00+00:00Z,10YNL----------L,MAW,B18,1077
2022-07-01T07:00+00:00Z,2022-07-01T07:15+00:00Z,10YNL----------L,MAW,B18,1038
2022-07-01T07:15+00:00Z,2022-07-01T07:30+00:00Z,10YNL----------L,MAW,B18,1017
2022-07-01T07:30+00:00Z,2022-07-01T07:45+00:00Z,10YNL----------L,MAW,B18,1008
2022-07-01T07:45+00:00Z,2022-07-01T08:00+00:00Z,10YNL----------L,MAW,B18,1166
2022-07-01T08:00+00:00Z,2022-07-01T08:15+00:00Z,10YNL----------L,MAW,B18,1273
2022-07-01T08:15+00:00Z,2022-07-01T08:30+00:00Z,10YNL----------L,MAW,B18,1262
2022-07-01T08:30+00:00Z,2022-07-01T08:45+00:00Z,10YNL----------L,MAW,B18,1208
2022-07-01T08:45+00:00Z,2022-07-01T09:00+00:00Z,10YNL----------L,MAW,B18,1258
2022-07-01T09:00+00:00Z,2022-07-01T09:15+00:00Z,10YNL----------L,MAW,B18,1307
2022-07-01T09:15+00:00Z,2022-07-01T09:30+00:00Z,10YNL----------L,MAW,B18,1293
2022-07-01T09:30+00:00Z,2022-07-01T09:45+00:00Z,10YNL----------L,MAW,B18,1256
2022-07-01T09:45+00:00Z,2022-07-01T10:00+00:00Z,10YNL----------L,MAW,B18,1202
2022-07-01T10:00+00:00Z,2022-07-01T10:15+00:00Z,10YNL----------L,MAW,B18,1182
2022-07-01T10:15+00:00Z,2022-07-01T10:30+00:00Z,10YNL----------L,MAW,B18,1204
2022-07-01T10:30+00:00Z,2022-07-01T10:45+00:00Z,10YNL----------L,MAW,B18,1202
2022-07-01T10:45+00:00Z,2022-07-01T11:00+00:00Z,10YNL----------L,MAW,B18,1188
2022-07-01T11:00+00:00Z,2022-07-01T11:15+00:00Z,10YNL----------L,MAW,B18,1159
