StartTime,EndTime,AreaID,UnitName,PsrType,quantity
2022-06-30T23:45+00:00Z,2022-07-01T00:00+00:00Z,10YES-REE------0,MAW,B19,5952
2022-07-01T00:00+00:00Z,2022-07-01T00:15+00:00Z,10YES-REE------0,MAW,B19,5808
2022-07-01T00:15+00:00Z,2022-07-01T00:30+00:00Z,10YES-REE------0,MAW,B19,5724
2022-07-01T00:30+00:00Z,2022-07-01T00:45+00:00Z,10YES-REE------0,MAW,B19,5636
2022-07-01T00:45+00:00Z,2022-07-01T01:00+00:00Z,10YES-REE------0,MAW,B19,5504
2022-07-01T01:00+00:00Z,2022-07-01T01:15+00:00Z,10YES-REE------0,MAW,B19,5388
2022-07-01T01:15+00:00Z,2022-07-01T01:30+00:00Z,10YES-REE------0,MAW,B19,5364
2022-07-01T01:30+00:00Z,2022-07-01T01:45+00:00Z,10YES-REE------0,MAW,B19,5276
2022-07-01T01:45+00:00Z,2022-07-01T02:00+00:00Z,10YES-REE------0,MAW,B19,5172
2022-07-01T02:00+00:00Z,2022-07-01T02:15+00:00Z,10YES-REE------0,MAW,B19,5056
2022-07-01T02:15+00:00Z,2022-07-01T02:30+00:00Z,10YES-REE------0,MAW,B19,4920
2022-07-01T02:30+00:00Z,2022-07-01T02:45+00:00Z,10YES-REE------0,MAW,B19,4772
2022-07-01T02:45+00:00Z,2022-07-01T03:00+00:00Z,10YES-REE------0,MAW,B19,4656
2022-07-01T03:00+00:00Z,2022-07-01T03:15+00:00Z,10YES-REE------0,MAW,B19,4564
2022-07-01T03:15+00:00Z,2022-07-01T03:30+00:00Z,10YES-REE------0,MAW,B19,4524
2022-07-01T03:30+00:00Z,2022-07-01T03:45+00:00Z,10YES-REE------0,MAW,B19,4564
2022-07-01T03:45+00:00Z,2022-07-01T04:00+00:00Z,10YES-REE------0,MAW,B19,4504
2022-07-01T04:00+00:00Z,2022-07-01T04:15+00:00Z,10YES-REE------0,MAW,B19,4500
2022-07-01T04:15+00:00Z,2022-07-01T04:30+00:00Z,10YES-REE------0,MAW,B19,4524
2022-07-01T04:30+00:00Z,2022-07-01T04:45+00:00Z,10YES-REE------0,MAW,B19,4444
2022-07-01T04:45+00:00Z,2022-07-01T05:00+00:00Z,10YES-REE------0,MAW,B19,4360
2022-07-01T05:00+00:00Z,2022-07-01T05:15+00:00Z,10YES-REE------0,MAW,B19,4268
2022-07-01T05:15+00:00Z,2022-07-01T05:30+00:00Z,10YES-REE------0,MAW,B19,4064
2022-07-01T05:30+00:00Z,2022-07-01T05:45+00:00Z,10YES-REE------0,MAW,B19,3844
2022-07-01T05:45+00:00Z,2022-07-01T06:00+00:00Z,10YES-REE------0,MAW,B19,3628
2022-07-01T06:00+00:00Z,2022-07-01T06:15+00:00Z,10YES-REE------0,MAW,B19,3408
2022-07-01T06:15+00:00Z,2022-07-01T06:30+00:00Z,10YES-REE------0,MAW,B19,3164
2022-07-01T06:30+00:00Z,2022-07-01T06:45+00:00Z,10YES-REE------0,MAW,B19,2916
2022-07-01T06:45+00:00Z,2022-07-01T07:00+00:00Z,10YES-REE------0,MAW,B19,2688
2022-07-01T07:00+00:00Z,2022-07-01T07:15+00:00Z,10YES-REE------0,MAW,B19,2568
2022-07-01T07:15+00:00Z,2022-07-01T07:30+00:00Z,10YES-REE------0,MAW,B19,2500
2022-07-01T07:30+00:00Z,2022-07-01T07:45+00:00Z,10YES-REE------0,MAW,B19,2432
