StartTime,EndTime,AreaID,UnitName,Load
2022-06-30T23:45+00:00Z,2022-07-01T00:00+00:00Z,10Y1001A1001A83F,MAW,45216
2022-07-01T00:00+00:00Z,2022-07-01T00:15+00:00Z,10Y1001A1001A83F,MAW,44979
2022-07-01T00:15+00:00Z,2022-07-01T00:30+00:00Z,10Y1001A1001A83F,MAW,44602
2022-07-01T00:30+00:00Z,2022-07-01T00:45+00:00Z,10Y1001A1001A83F,MAW,44537
2022-07-01T00:45+00:00Z,2022-07-01T01:00+00:00Z,10Y1001A1001A83F,MAW,44344
2022-07-01T01:00+00:00Z,2022-07-01T01:15+00:00Z,10Y1001A1001A83F,MAW,44200
2022-07-01T01:15+00:00Z,2022-07-01T01:30+00:00Z,10Y1001A1001A83F,MAW,44541
2022-07-01T01:30+00:00Z,2022-07-01T01:45+00:00Z,10Y1001A1001A83F,MAW,44635
2022-07-01T01:45+00:00Z,2022-07-01T02:00+00:00Z,10Y1001A1001A83F,MAW,45159
2022-07-01T02:00+00:00Z,2022-07-01T02:15+00:00Z,10Y1001A1001A83F,MAW,45150
2022-07-01T02:15+00:00Z,2022-07-01T02:30+00:00Z,10Y1001A1001A83F,MAW,45323
2022-07-01T02:30+00:00Z,2022-07-01T02:45+00:00Z,10Y1001A1001A83F,MAW,45626
2022-07-01T02:45+00:00Z,2022-07-01T03:00+00:00Z,10Y1001A1001A83F,MAW,47317
2022-07-01T03:00+00:00Z,2022-07-01T03:15+00:00Z,10Y1001A1001A83F,MAW,47546
2022-07-01T03:15+00:00Z,2022-07-01T03:30+00:00Z,10Y1001A1001A83F,MAW,47551
2022-07-01T03:30+00:00Z,2022-07-01T03:45+00:00Z,10Y1001A1001A83F,MAW,48598
2022-07-01T03:45+00:00Z,2022-07-01T04:00+00:00Z,10Y1001A1001A83F,MAW,51211
2022-07-01T04:00+00:00Z,2022-07-01T04:15+00:00Z,10Y1001A1001A83F,MAW,53098
2022-07-01T04:15+00:00Z,2022-07-01T04:30+00:00Z,10Y1001A1001A83F,MAW,54274
2022-07-01T04:30+00:00Z,2022-07-01T04:45+00:00Z,10Y1001A1001A83F,MAW,55965
2022-07-01T04:45+00:00Z,2022-07-01T05:00+00:00Z,10Y1001A1001A83F,MAW,57230
2022-07-01T05:00+00:00Z,2022-07-01T05:15+00:00Z,10Y1001A1001A83F,MAW,58380
2022-07-01T05:15+00:00Z,2022-07-01T05:30+00:00Z,10Y1001A1001A83F,MAW,59101
2022-07-01T05:30+00:00Z,2022-07-01T05:45+00:00Z,10Y1001A1001A83F,MAW,59962
2022-07-01T05:45+00:00Z,2022-07-01T06:00+00:00Z,10Y1001A1001A83F,MAW,60747
2022-07-01T06:00+00:00Z,2022-07-01T06:15+00:00Z,10Y1001A1001A83F,MAW,61393
2022-07-01T06:15+00:00Z,2022-07-01T06:30+00:00Z,10Y1001A1001A83F,MAW,61770
2022-07-01T06:30+00:00Z,2022-07-01T06:45+00:00Z,10Y1001A1001A83F,MAW,62107
2022-07-01T06:45+00:00Z,2022-07-01T07:00+00:00Z,10Y1001A1001A83F,MAW,61921
2022-07-01T07:00+00:00Z,2022-07-01T07:15+00:00Z,10Y1001A1001A83F,MAW,62103
2022-07-01T07:15+00:00Z,2022-07-01T07:30+00:00Z,10Y1001A1001A83F,MAW,62145
2022-07-01T07:30+00:00Z,2022-07-01T07:45+00:00Z,10Y1001A1001A83F,MAW,62527
2022-07-01T07:45+00:00Z,2022-07-01T08:00+00:00Z,10Y1001A1001A83F,MAW,62661
2022-07-01T08:00+00:00Z,2022-07-01T08:15+00:00Z,10Y1001A1001A83F,MAW,63147
2022-07-01T08:15+00:00Z,2022-07-01T08:30+00:00Z,10Y1001A1001A83F,MAW,63542
2022-07-01T08:30+00:00Z,2022-07-01T08:45+00:00Z,10Y1001A1001A83F,MAW,63802
2022-07-01T08:45+00:00Z,2022-07-01T09:00+00:00Z,10Y1001A1001A83F,MAW,64146
2022-07-01T09:00+00:00Z,2022-07-01T09:15+00:00Z,10Y1001A1001A83F,MAW,64397
2022-07-01T09:15+00:00Z,2022-07-01T09:30+00:00Z,10Y1001A1001A83F,MAW,64349
2022-07-01T09:30+00:00Z,2022-07-01T09:45+00:00Z,10Y1001A1001A83F,MAW,64217
2022-07-01T09:45+00:00Z,2022-07-01T10:00+00:00Z,10Y1001A1001A83F,MAW,63674
2022-07-01T10:00+00:00Z,2022-07-01T10:15+00:00Z,10Y1001A1001A83F,MAW,63528
2022-07-01T10:15+00:00Z,2022-07-01T10:30+00:00Z,10Y1001A1001A83F,MAW,63544
2022-07-01T10:30+00:00Z,2022-07-01T10:45+00:00Z,10Y1001A1001A83F,MAW,63577
2022-07-01T10:45+00:00Z,2022-07-01T11:00+00:00Z,10Y1001A1001A83F,MAW,63442
2022-07-01T11:00+00:00Z,2022-07-01T11:15+00:00Z,10Y1001A1001A83F,MAW,63344
2022-07-01T11:15+00:00Z,2022-07-01T11:30+00:00Z,10Y1001A1001A83F,MAW,62953
2022-07-01T11:30+00:00Z,2022-07-01T11:45+00:00Z,10Y1001A1001A83F,MAW,62707
2022-07-01T11:45+00:00Z,2022-07-01T12:00+00:00Z,10Y1001A1001A83F,MAW,61882
2022-07-01T12:00+00:00Z,2022-07-01T12:15+00:00Z,10Y1001A1001A83F,MAW,61385
2022-07-01T12:15+00:00Z,2022-07-01T12:30+00:00Z,10Y1001A1001A83F,MAW,61302
2022-07-01T12:30+00:00Z,2022-07-01T12:45+00:00Z,10Y1001A1001A83F,MAW,60836
2022-07-01T12:45+00:00Z,2022-07-01T13:00+00:00Z,10Y1001A1001A83F,MAW,60362
2022-07-01T13:00+00:00Z,2022-07-01T13:15+00:00Z,10Y1001A1001A83F,MAW,59975
2022-07-01T13:15+00:00Z,2022-07-01T13:30+00:00Z,10Y1001A1001A83F,MAW,59664
2022-07-01T13:30+00:00Z,2022-07-01T13:45+00:00Z,10Y1001A1001A83F,MAW,59433
2022-07-01T13:45+00:00Z,2022-07-01T14:00+00:00Z,10Y1001A1001A83F,MAW,58893
2022-07-01T14:00+00:00Z,2022-07-01T14:15+00:00Z,10Y1001A1001A83F,MAW,58310
2022-07-01T14:15+00:00Z,2022-07-01T14:30+00:00Z,10Y1001A1001A83F,MAW,58464
2022-07-01T14:30+00:00Z,2022-07-01T14:45+00:00Z,10Y1001A1001A83F,MAW,58203
2022-07-01T14:45+00:00Z,2022-07-01T15:00+00:00Z,10Y1001A1001A83F,MAW,58612
2022-07-01T15:00+00:00Z,2022-07-01T15:15+00:00Z,10Y1001A1001A83F,MAW,58502
2022-07-01T15:15+00:00Z,2022-07-01T15:30+00:00Z,10Y1001A1001A83F,MAW,58251
2022-07-01T15:30+00:00Z,2022-07-01T15:45+00:00Z,10Y1001A1001A83F,MAW,58111
2022-07-01T15:45+00:00Z,2022-07-01T16:00+00:00Z,10Y1001A1001A83F,MAW,58018
2022-07-01T16:00+00:00Z,2022-07-01T16:15+00:00Z,10Y1001A1001A83F,MAW,57868
2022-07-01T16:15+00:00Z,2022-07-01T16:30+00:00Z,10Y1001A1001A83F,MAW,57358
2022-07-01T16:30+00:00Z,2022-07-01T16:45+00:00Z,10Y1001A1001A83F,MAW,56995
2022-07-01T16:45+00:00Z,2022-07-01T17:00+00:00Z,10Y1001A1001A83F,MAW,57195
2022-07-01T17:00+00:00Z,2022-07-01T17:15+00:00Z,10Y1001A1001A83F,MAW,56761
2022-07-01T17:15+00:00Z,2022-07-01T17:30+00:00Z,10Y1001A1001A83F,MAW,56038
2022-07-01T17:30+00:00Z,2022-07-01T17:45+00:00Z,10Y1001A1001A83F,MAW,55605
2022-07-01T17:45+00:00Z,2022-07-01T18:00+00:00Z,10Y1001A1001A83F,MAW,54973
2022-07-01T18:00+00:00Z,2022-07-01T18:15+00:00Z,10Y1001A1001A83F,MAW,54503
2022-07-01T18:15+00:00Z,2022-07-01T18:30+00:00Z,10Y1001A1001A83F,MAW,53761
2022-07-01T18:30+00:00Z,2022-07-01T18:45+00:00Z,10Y1001A1001A83F,MAW,53180
2022-07-01T18:45+00:00Z,2022-07-01T19:00+00:00Z,10Y1001A1001A83F,MAW,52865
2022-07-01T19:00+00:00Z,2022-07-01T19:15+00:00Z,10Y1001A1001A83F,MAW,52410
2022-07-01T19:15+00:00Z,2022-07-01T19:30+00:00Z,10Y1001A1001A83F,MAW,51540
2022-07-01T19:30+00:00Z,2022-07-01T19:45+00:00Z,10Y1001A1001A83F,MAW,51324
2022-07-01T19:45+00:00Z,2022-07-01T20:00+00:00Z,10Y1001A1001A83F,MAW,50966
2022-07-01T20:00+00:00Z,2022-07-01T20:15+00:00Z,10Y1001A1001A83F,MAW,50452
2022-07-01T20:15+00:00Z,2022-07-01T20:30+00:00Z,10Y1001A1001A83F,MAW,49513
2022-07-01T20:30+00:00Z,2022-07-01T20:45+00:00Z,10Y1001A1001A83F,MAW,48736
2022-07-01T20:45+00:00Z,2022-07-01T21:00+00:00Z,10Y1001A1001A83F,MAW,47817
2022-07-01T21:00+00:00Z,2022-07-01T21:15+00:00Z,10Y1001A1001A83F,MAW,47463
2022-07-01T21:15+00:00Z,2022-07-01T21:30+00:00Z,10Y1001A1001A83F,MAW,46699
2022-07-01T21:30+00:00Z,2022-07-01T21:45+00:00Z,10Y1001A1001A83F,MAW,46156
2022-07-01T21:45+00:00Z,2022-07-01T22:00+00:00Z,10Y1001A1001A83F,MAW,45139
2022-07-01T22:00+00:00Z,2022-07-01T22:15+00:00Z,10Y1001A1001A83F,MAW,44632
2022-07-01T22:15+00:00Z,2022-07-01T22:30+00:00Z,10Y1001A1001A83F,MAW,44195
2022-07-01T22:30+00:00Z,2022-07-01T22:45+00:00Z,10Y1001A1001A83F,MAW,43547
2022-07-01T22:45+00:00Z,2022-07-01T23:00+00:00Z,10Y1001A1001A83F,MAW,43033
2022-07-01T23:00+00:00Z,2022-07-01T23:15+00:00Z,10Y1001A1001A83F,MAW,42821
2022-07-01T23:15+00:00Z,2022-07-01T23:30+00:00Z,10Y1001A1001A83F,MAW,42275
2022-07-01T23:30+00:00Z,2022-07-01T23:45+00:00Z,10Y1001A1001A83F,MAW,41785
2022-07-01T23:45+00:00Z,2022-07-02T00:00+00:00Z,10Y1001A1001A83F,MAW,41177
2022-07-02T00:00+00:00Z,2022-07-02T00:15+00:00Z,10Y1001A1001A83F,MAW,40962
2022-07-02T00:15+00:00Z,2022-07-02T00:30+00:00Z,10Y1001A1001A83F,MAW,40799
2022-07-02T00:30+00:00Z,2022-07-02T00:45+00:00Z,10Y1001A1001A83F,MAW,40595
2022-07-02T00:45+00:00Z,2022-07-02T01:00+00:00Z,10Y1001A1001A83F,MAW,40856
2022-07-02T01:00+00:00Z,2022-07-02T01:15+00:00Z,10Y1001A1001A83F,MAW,40682
2022-07-02T01:15+00:00Z,2022-07-02T01:30+00:00Z,10Y1001A1001A83F,MAW,40596
2022-07-02T01:30+00:00Z,2022-07-02T01:45+00:00Z,10Y1001A1001A83F,MAW,40352
2022-07-02T01:45+00:00Z,2022-07-02T02:00+00:00Z,10Y1001A1001A83F,MAW,40247
2022-07-02T02:00+00:00Z,2022-07-02T02:15+00:00Z,10Y1001A1001A83F,MAW,40448
2022-07-02T02:15+00:00Z,2022-07-02T02:30+00:00Z,10Y1001A1001A83F,MAW,40399
2022-07-02T02:30+00:00Z,2022-07-02T02:45+00:00Z,10Y1001A1001A83F,MAW,40354
2022-07-02T02:45+00:00Z,2022-07-02T03:00+00:00Z,10Y1001A1001A83F,MAW,40414
2022-07-02T03:00+00:00Z,2022-07-02T03:15+00:00Z,10Y1001A1001A83F,MAW,40228
2022-07-02T03:15+00:00Z,2022-07-02T03:30+00:00Z,10Y1001A1001A83F,MAW,40473
2022-07-02T03:30+00:00Z,2022-07-02T03:45+00:00Z,10Y1001A1001A83F,MAW,40645
2022-07-02T03:45+00:00Z,2022-07-02T04:00+00:00Z,10Y1001A1001A83F,MAW,41326
2022-07-02T04:00+00:00Z,2022-07-02T04:15+00:00Z,10Y1001A1001A83F,MAW,41764
2022-07-02T04:15+00:00Z,2022-07-02T04:30+00:00Z,10Y1001A1001A83F,MAW,42208
2022-07-02T04:30+00:00Z,2022-07-02T04:45+00:00Z,10Y1001A1001A83F,MAW,42736
2022-07-02T04:45+00:00Z,2022-07-02T05:00+00:00Z,10Y1001A1001A83F,MAW,43619
2022-07-02T05:00+00:00Z,2022-07-02T05:15+00:00Z,10Y1001A1001A83F,MAW,44482
2022-07-02T05:15+00:00Z,2022-07-02T05:30+00:00Z,10Y1001A1001A83F,MAW,45604
2022-07-02T05:30+00:00Z,2022-07-02T05:45+00:00Z,10Y1001A1001A83F,MAW,46557
2022-07-02T05:45+00:00Z,2022-07-02T06:00+00:00Z,10Y1001A1001A83F,MAW,47633
2022-07-02T06:00+00:00Z,2022-07-02T06:15+00:00Z,10Y1001A1001A83F,MAW,48497
2022-07-02T06:15+00:00Z,2022-07-02T06:30+00:00Z,10Y1001A1001A83F,MAW,49051
2022-07-02T06:30+00:00Z,2022-07-02T06:45+00:00Z,10Y1001A1001A83F,MAW,49652
