StartTime,EndTime,AreaID,UnitName,Load
2022-06-30T23:00+00:00Z,2022-07-01T00:00+00:00Z,10YIT-GRTN-----B,MAW,30951
2022-07-01T00:00+00:00Z,2022-07-01T01:00+00:00Z,10YIT-GRTN-----B,MAW,30203
2022-07-01T01:00+00:00Z,2022-07-01T02:00+00:00Z,10YIT-GRTN-----B,MAW,30130
2022-07-01T02:00+00:00Z,2022-07-01T03:00+00:00Z,10YIT-GRTN-----B,MAW,30484
2022-07-01T03:00+00:00Z,2022-07-01T04:00+00:00Z,10YIT-GRTN-----B,MAW,33552
2022-07-01T04:00+00:00Z,2022-07-01T05:00+00:00Z,10YIT-GRTN-----B,MAW,38264
2022-07-01T05:00+00:00Z,2022-07-01T06:00+00:00Z,10YIT-GRTN-----B,MAW,42998
2022-07-01T06:00+00:00Z,2022-07-01T07:00+00:00Z,10YIT-GRTN-----B,MAW,45589
2022-07-01T07:00+00:00Z,2022-07-01T08:00+00:00Z,10YIT-GRTN-----B,MAW,46503
2022-07-01T08:00+00:00Z,2022-07-01T09:00+00:00Z,10YIT-GRTN-----B,MAW,46856
2022-07-01T09:00+00:00Z,2022-07-01T10:00+00:00Z,10YIT-GRTN-----B,MAW,46097
2022-07-01T10:00+00:00Z,2022-07-01T11:00+00:00Z,10YIT-GRTN-----B,MAW,46626
2022-07-01T11:00+00:00Z,2022-07-01T12:00+00:00Z,10YIT-GRTN-----B,MAW,47525
2022-07-01T12:00+00:00Z,2022-07-01T13:00+00:00Z,10YIT-GRTN-----B,MAW,47784
2022-07-01T13:00+00:00Z,2022-07-01T14:00+00:00Z,10YIT-GRTN-----B,MAW,48004
2022-07-01T14:00+00:00Z,2022-07-01T15:00+00:00Z,10YIT-GRTN-----B,MAW,46541
2022-07-01T15:00+00:00Z,2022-07-01T16:00+00:00Z,10YIT-GRTN-----B,MAW,45167
2022-07-01T16:00+00:00Z,2022-07-01T17:00+00:00Z,10YIT-GRTN-----B,MAW,44286
2022-07-01T17:00+00:00Z,2022-07-01T18:00+00:00Z,10YIT-GRTN-----B,MAW,42490
2022-07-01T18:00+00:00Z,2022-07-01T19:00+00:00Z,10YIT-GRTN-----B,MAW,41547
2022-07-01T19:00+00:00Z,2022-07-01T20:00+00:00Z,10YIT-GRTN-----B,MAW,39080
2022-07-01T20:00+00:00Z,2022-07-01T21:00+00:00Z,10YIT-GRTN-----B,MAW,36345
2022-07-01T21:00+00:00Z,2022-07-01T22:00+00:00Z,10YIT-GRTN-----B,MAW,33585
2022-07-01T22:00+00:00Z,2022-07-01T23:00+00:00Z,10YIT-GRTN-----B,MAW,31436
2022-07-01T23:00+00:00Z,2022-07-02T00:00+00:00Z,10YIT-GRTN-----B,MAW,30081
2022-07-02T00:00+00:00Z,2022-07-02T01:00+00:00Z,10YIT-GRTN-----B,MAW,29382
2022-07-02T01:00+00:00Z,2022-07-02T02:00+00:00Z,10YIT-GRTN-----B,MAW,29050
2022-07-02T02:00+00:00Z,2022-07-02T03:00+00:00Z,10YIT-GRTN-----B,MAW,28428
2022-07-02T03:00+00:00Z,2022-07-02T04:00+00:00Z,10YIT-GRTN-----B,MAW,29292
2022-07-02T04:00+00:00Z,2022-07-02T05:00+00:00Z,10YIT-GRTN-----B,MAW,31906
2022-07-02T05:00+00:00Z,2022-07-02T06:00+00:00Z,10YIT-GRTN-----B,MAW,34494
2022-07-02T06:00+00:00Z,2022-07-02T07:00+00:00Z,10YIT-GRTN-----B,MAW,36393
2022-07-02T07:00+00:00Z,2022-07-02T08:00+00:00Z,10YIT-GRTN-----B,MAW,36889
2022-07-02T08:00+00:00Z,2022-07-02T09:00+00:00Z,10YIT-GRTN-----B,MAW,36961
2022-07-02T09:00+00:00Z,2022-07-02T10:00+00:00Z,10YIT-GRTN-----B,MAW,36689
