StartTime,EndTime,AreaID,UnitName,Load
2022-06-30T23:00+00:00Z,2022-07-01T00:00+00:00Z,10YSE-1--------K,MAW,10779
2022-07-01T00:00+00:00Z,2022-07-01T01:00+00:00Z,10YSE-1--------K,MAW,10664
2022-07-01T01:00+00:00Z,2022-07-01T02:00+00:00Z,10YSE-1--------K,MAW,10785
2022-07-01T02:00+00:00Z,2022-07-01T03:00+00:00Z,10YSE-1--------K,MAW,11206
2022-07-01T03:00+00:00Z,2022-07-01T04:00+00:00Z,10YSE-1--------K,MAW,12313
2022-07-01T04:00+00:00Z,2022-07-01T05:00+00:00Z,10YSE-1--------K,MAW,13502
2022-07-01T05:00+00:00Z,2022-07-01T06:00+00:00Z,10YSE-1--------K,MAW,14063
2022-07-01T06:00+00:00Z,2022-07-01T07:00+00:00Z,10YSE-1--------K,MAW,14462
2022-07-01T07:00+00:00Z,2022-07-01T08:00+00:00Z,10YSE-1--------K,MAW,14498
2022-07-01T08:00+00:00Z,2022-07-01T09:00+00:00Z,10YSE-1--------K,MAW,14366
2022-07-01T09:00+00:00Z,2022-07-01T10:00+00:00Z,10YSE-1--------K,MAW,14386
2022-07-01T10:00+00:00Z,2022-07-01T11:00+00:00Z,10YSE-1--------K,MAW,14112
2022-07-01T11:00+00:00Z,2022-07-01T12:00+00:00Z,10YSE-1--------K,MAW,13914
2022-07-01T12:00+00:00Z,2022-07-01T13:00+00:00Z,10YSE-1--------K,MAW,13217
2022-07-01T13:00+00:00Z,2022-07-01T14:00+00:00Z,10YSE-1--------K,MAW,13168
2022-07-01T14:00+00:00Z,2022-07-01T15:00+00:00Z,10YSE-1--------K,MAW,13194
2022-07-01T15:00+00:00Z,2022-07-01T16:00+00:00Z,10YSE-1--------K,MAW,13224
2022-07-01T16:00+00:00Z,2022-07-01T17:00+00:00Z,10YSE-1--------K,MAW,13109
2022-07-01T17:00+00:00Z,2022-07-01T18:00+00:00Z,10YSE-1--------K,MAW,12561
2022-07-01T18:00+00:00Z,2022-07-01T19:00+00:00Z,10YSE-1--------K,MAW,11853
2022-07-01T19:00+00:00Z,2022-07-01T20:00+00:00Z,10YSE-1--------K,MAW,11336
2022-07-01T20:00+00:00Z,2022-07-01T21:00+00:00Z,10YSE-1--------K,MAW,10986
2022-07-01T21:00+00:00Z,2022-07-01T22:00+00:00Z,10YSE-1--------K,MAW,10378
2022-07-01T22:00+00:00Z,2022-07-01T23:00+00:00Z,10YSE-1--------K,MAW,10133
2022-07-01T23:00+00:00Z,2022-07-02T00:00+00:00Z,10YSE-1--------K,MAW,9868
2022-07-02T00:00+00:00Z,2022-07-02T01:00+00:00Z,10YSE-1--------K,MAW,9755
2022-07-02T01:00+00:00Z,2022-07-02T02:00+00:00Z,10YSE-1--------K,MAW,9753
2022-07-02T02:00+00:00Z,2022-07-02T03:00+00:00Z,10YSE-1--------K,MAW,9782
2022-07-02T03:00+00:00Z,2022-07-02T04:00+00:00Z,10YSE-1--------K,MAW,9884
2022-07-02T04:00+00:00Z,2022-07-02T05:00+00:00Z,10YSE-1--------K,MAW,10552
2022-07-02T05:00+00:00Z,2022-07-02T06:00+00:00Z,10YSE-1--------K,MAW,11195
2022-07-02T06:00+00:00Z,2022-07-02T07:00+00:00Z,10YSE-1--------K,MAW,11379
2022-07-02T07:00+00:00Z,2022-07-02T08:00+00:00Z,10YSE-1--------K,MAW,11427
2022-07-02T08:00+00:00Z,2022-07-02T09:00+00:00Z,10YSE-1--------K,MAW,11699
2022-07-02T09:00+00:00Z,2022-07-02T10:00+00:00Z,10YSE-1--------K,MAW,12080
2022-07-02T10:00+00:00Z,2022-07-02T11:00+00:00Z,10YSE-1--------K,MAW,12169
2022-07-02T11:00+00:00Z,2022-07-02T12:00+00:00Z,10YSE-1--------K,MAW,12315
2022-07-02T12:00+00:00Z,2022-07-02T13:00+00:00Z,10YSE-1--------K,MAW,12094
2022-07-02T13:00+00:00Z,2022-07-02T14:00+00:00Z,10YSE-1--------K,MAW,12164
2022-07-02T14:00+00:00Z,2022-07-02T15:00+00:00Z,10YSE-1--------K,MAW,12289
2022-07-02T15:00+00:00Z,2022-07-02T16:00+00:00Z,10YSE-1--------K,MAW,12548
2022-07-02T16:00+00:00Z,2022-07-02T17:00+00:00Z,10YSE-1--------K,MAW,12548
2022-07-02T17:00+00:00Z,2022-07-02T18:00+00:00Z,10YSE-1--------K,MAW,12291
2022-07-02T18:00+00:00Z,2022-07-02T19:00+00:00Z,10YSE-1--------K,MAW,12056
2022-07-02T19:00+00:00Z,2022-07-02T20:00+00:00Z,10YSE-1--------K,MAW,11816
2022-07-02T20:00+00:00Z,2022-07-02T21:00+00:00Z,10YSE-1--------K,MAW,11228
2022-07-02T21:00+00:00Z,2022-07-02T22:00+00:00Z,10YSE-1--------K,MAW,10310
2022-07-02T22:00+00:00Z,2022-07-02T23:00+00:00Z,10YSE-1--------K,MAW,10048
2022-07-02T23:00+00:00Z,2022-07-03T00:00+00:00Z,10YSE-1--------K,MAW,9939
2022-07-03T00:00+00:00Z,2022-07-03T01:00+00:00Z,10YSE-1--------K,MAW,9876
2022-07-03T01:00+00:00Z,2022-07-03T02:00+00:00Z,10YSE-1--------K,MAW,9859
2022-07-03T02:00+00:00Z,2022-07-03T03:00+00:00Z,10YSE-1--------K,MAW,9629
2022-07-03T03:00+00:00Z,2022-07-03T04:00+00:00Z,10YSE-1--------K,MAW,9750
2022-07-03T04:00+00:00Z,2022-07-03T05:00+00:00Z,10YSE-1--------K,MAW,10378
2022-07-03T05:00+00:00Z,2022-07-03T06:00+00:00Z,10YSE-1--------K,MAW,10929
2022-07-03T06:00+00:00Z,2022-07-03T07:00+00:00Z,10YSE-1--------K,MAW,11557
2022-07-03T07:00+00:00Z,2022-07-03T08:00+00:00Z,10YSE-1--------K,MAW,11971
2022-07-03T08:00+00:00Z,2022-07-03T09:00+00:00Z,10YSE-1--------K,MAW,12102
2022-07-03T09:00+00:00Z,2022-07-03T10:00+00:00Z,10YSE-1--------K,MAW,12260
2022-07-03T10:00+00:00Z,2022-07-03T11:00+00:00Z,10YSE-1--------K,MAW,12353
2022-07-03T11:00+00:00Z,2022-07-03T12:00+00:00Z,10YSE-1--------K,MAW,12509
2022-07-03T12:00+00:00Z,2022-07-03T13:00+00:00Z,10YSE-1--------K,MAW,12355
2022-07-03T13:00+00:00Z,2022-07-03T14:00+00:00Z,10YSE-1--------K,MAW,12515
2022-07-03T14:00+00:00Z,2022-07-03T15:00+00:00Z,10YSE-1--------K,MAW,12682
2022-07-03T15:00+00:00Z,2022-07-03T16:00+00:00Z,10YSE-1--------K,MAW,12662
2022-07-03T16:00+00:00Z,2022-07-03T17:00+00:00Z,10YSE-1--------K,MAW,12536
2022-07-03T17:00+00:00Z,2022-07-03T18:00+00:00Z,10YSE-1--------K,MAW,12226
2022-07-03T18:00+00:00Z,2022-07-03T19:00+00:00Z,10YSE-1--------K,MAW,11977
2022-07-03T19:00+00:00Z,2022-07-03T20:00+00:00Z,10YSE-1--------K,MAW,11683
2022-07-03T20:00+00:00Z,2022-07-03T21:00+00:00Z,10YSE-1--------K,MAW,11191
2022-07-03T21:00+00:00Z,2022-07-03T22:00+00:00Z,10YSE-1--------K,MAW,10779
2022-07-03T22:00+00:00Z,2022-07-03T23:00+00:00Z,10YSE-1--------K,MAW,10752
2022-07-03T23:00+00:00Z,2022-07-04T00:00+00:00Z,10YSE-1--------K,MAW,10633
2022-07-04T00:00+00:00Z,2022-07-04T01:00+00:00Z,10YSE-1--------K,MAW,10597
2022-07-04T01:00+00:00Z,2022-07-04T02:00+00:00Z,10YSE-1--------K,MAW,10789
2022-07-04T02:00+00:00Z,2022-07-04T03:00+00:00Z,10YSE-1--------K,MAW,10834
2022-07-04T03:00+00:00Z,2022-07-04T04:00+00:00Z,10YSE-1--------K,MAW,12019
2022-07-04T04:00+00:00Z,2022-07-04T05:00+00:00Z,10YSE-1--------K,MAW,13307
2022-07-04T05:00+00:00Z,2022-07-04T06:00+00:00Z,10YSE-1--------K,MAW,13663
2022-07-04T06:00+00:00Z,2022-07-04T07:00+00:00Z,10YSE-1--------K,MAW,13878
2022-07-04T07:00+00:00Z,2022-07-04T08:00+00:00Z,10YSE-1--------K,MAW,14147
2022-07-04T08:00+00:00Z,2022-07-04T09:00+00:00Z,10YSE-1--------K,MAW,14042
2022-07-04T09:00+00:00Z,2022-07-04T10:00+00:00Z,10YSE-1--------K,MAW,13928
2022-07-04T10:00+00:00Z,2022-07-04T11:00+00:00Z,10YSE-1--------K,MAW,13800
2022-07-04T11:00+00:00Z,2022-07-04T12:00+00:00Z,10YSE-1--------K,MAW,13842
2022-07-04T12:00+00:00Z,2022-07-04T13:00+00:00Z,10YSE-1--------K,MAW,13813
2022-07-04T13:00+00:00Z,2022-07-04T14:00+00:00Z,10YSE-1--------K,MAW,13730
2022-07-04T14:00+00:00Z,2022-07-04T15:00+00:00Z,10YSE-1--------K,MAW,13505
2022-07-04T15:00+00:00Z,2022-07-04T16:00+00:00Z,10YSE-1--------K,MAW,13463
2022-07-04T16:00+00:00Z,2022-07-04T17:00+00:00Z,10YSE-1--------K,MAW,13483
2022-07-04T17:00+00:00Z,2022-07-04T18:00+00:00Z,10YSE-1--------K,MAW,12787
2022-07-04T18:00+00:00Z,2022-07-04T19:00+00:00Z,10YSE-1--------K,MAW,12420
2022-07-04T19:00+00:00Z,2022-07-04T20:00+00:00Z,10YSE-1--------K,MAW,12117
2022-07-04T20:00+00:00Z,2022-07-04T21:00+00:00Z,10YSE-1--------K,MAW,11786
2022-07-04T21:00+00:00Z,2022-07-04T22:00+00:00Z,10YSE-1--------K,MAW,11276
2022-07-04T22:00+00:00Z,2022-07-04T23:00+00:00Z,10YSE-1--------K,MAW,10917
2022-07-04T23:00+00:00Z,2022-07-05T00:00+00:00Z,10YSE-1--------K,MAW,10944
2022-07-05T00:00+00:00Z,2022-07-05T01:00+00:00Z,10YSE-1--------K,MAW,11006
2022-07-05T01:00+00:00Z,2022-07-05T02:00+00:00Z,10YSE-1--------K,MAW,10831
2022-07-05T02:00+00:00Z,2022-07-05T03:00+00:00Z,10YSE-1--------K,MAW,11281
2022-07-05T03:00+00:00Z,2022-07-05T04:00+00:00Z,10YSE-1--------K,MAW,12812
2022-07-05T04:00+00:00Z,2022-07-05T05:00+00:00Z,10YSE-1--------K,MAW,13524
2022-07-05T05:00+00:00Z,2022-07-05T06:00+00:00Z,10YSE-1--------K,MAW,13837
2022-07-05T06:00+00:00Z,2022-07-05T07:00+00:00Z,10YSE-1--------K,MAW,13892
2022-07-05T07:00+00:00Z,2022-07-05T08:00+00:00Z,10YSE-1--------K,MAW,13809
2022-07-05T08:00+00:00Z,2022-07-05T09:00+00:00Z,10YSE-1--------K,MAW,14150
2022-07-05T09:00+00:00Z,2022-07-05T10:00+00:00Z,10YSE-1--------K,MAW,14066
2022-07-05T10:00+00:00Z,2022-07-05T11:00+00:00Z,10YSE-1--------K,MAW,14118
2022-07-05T11:00+00:00Z,2022-07-05T12:00+00:00Z,10YSE-1--------K,MAW,14505
2022-07-05T12:00+00:00Z,2022-07-05T13:00+00:00Z,10YSE-1--------K,MAW,14384
2022-07-05T13:00+00:00Z,2022-07-05T14:00+00:00Z,10YSE-1--------K,MAW,13655
2022-07-05T14:00+00:00Z,2022-07-05T15:00+00:00Z,10YSE-1--------K,MAW,13896
2022-07-05T15:00+00:00Z,2022-07-05T16:00+00:00Z,10YSE-1--------K,MAW,14108
2022-07-05T16:00+00:00Z,2022-07-05T17:00+00:00Z,10YSE-1--------K,MAW,13562
2022-07-05T17:00+00:00Z,2022-07-05T18:00+00:00Z,10YSE-1--------K,MAW,13554
2022-07-05T18:00+00:00Z,2022-07-05T19:00+00:00Z,10YSE-1--------K,MAW,13265
2022-07-05T19:00+00:00Z,2022-07-05T20:00+00:00Z,10YSE-1--------K,MAW,12994
2022-07-05T20:00+00:00Z,2022-07-05T21:00+00:00Z,10YSE-1--------K,MAW,12407
2022-07-05T21:00+00:00Z,2022-07-05T22:00+00:00Z,10YSE-1--------K,MAW,11684
2022-07-05T22:00+00:00Z,2022-07-05T23:00+00:00Z,10YSE-1--------K,MAW,11279
2022-07-05T23:00+00:00Z,2022-07-06T00:00+00:00Z,10YSE-1--------K,MAW,11005
2022-07-06T00:00+00:00Z,2022-07-06T01:00+00:00Z,10YSE-1--------K,MAW,10801
2022-07-06T01:00+00:00Z,2022-07-06T02:00+00:00Z,10YSE-1--------K,MAW,10995
2022-07-06T02:00+00:00Z,2022-07-06T03:00+00:00Z,10YSE-1--------K,MAW,11544
2022-07-06T03:00+00:00Z,2022-07-06T04:00+00:00Z,10YSE-1--------K,MAW,12763
