StartTime,EndTime,AreaID,UnitName,Load
2022-06-30T23:45+00:00Z,2022-07-01T00:00+00:00Z,10YES-REE------0,MAW,23664
2022-07-01T00:00+00:00Z,2022-07-01T00:15+00:00Z,10YES-REE------0,MAW,23456
2022-07-01T00:15+00:00Z,2022-07-01T00:30+00:00Z,10YES-REE------0,MAW,23192
2022-07-01T00:30+00:00Z,2022-07-01T00:45+00:00Z,10YES-REE------0,MAW,23088
2022-07-01T00:45+00:00Z,2022-07-01T01:00+00:00Z,10YES-REE------0,MAW,23004
2022-07-01T01:00+00:00Z,2022-07-01T01:15+00:00Z,10YES-REE------0,MAW,22984
2022-07-01T01:15+00:00Z,2022-07-01T01:30+00:00Z,10YES-REE------0,MAW,22940
2022-07-01T01:30+00:00Z,2022-07-01T01:45+00:00Z,10YES-REE------0,MAW,22816
2022-07-01T01:45+00:00Z,2022-07-01T02:00+00:00Z,10YES-REE------0,MAW,22720
2022-07-01T02:00+00:00Z,2022-07-01T02:15+00:00Z,10YES-REE------0,MAW,22692
2022-07-01T02:15+00:00Z,2022-07-01T02:30+00:00Z,10YES-REE------0,MAW,22736
2022-07-01T02:30+00:00Z,2022-07-01T02:45+00:00Z,10YES-REE------0,MAW,22768
2022-07-01T02:45+00:00Z,2022-07-01T03:00+00:00Z,10YES-REE------0,MAW,22916
2022-07-01T03:00+00:00Z,2022-07-01T03:15+00:00Z,10YES-REE------0,MAW,22988
2022-07-01T03:15+00:00Z,2022-07-01T03:30+00:00Z,10YES-REE------0,MAW,23200
2022-07-01T03:30+00:00Z,2022-07-01T03:45+00:00Z,10YES-REE------0,MAW,23480
2022-07-01T03:45+00:00Z,2022-07-01T04:00+00:00Z,10YES-REE------0,MAW,24084
2022-07-01T04:00+00:00Z,2022-07-01T04:15+00:00Z,10YES-REE------0,MAW,24596
2022-07-01T04:15+00:00Z,2022-07-01T04:30+00:00Z,10YES-REE------0,MAW,25000
2022-07-01T04:30+00:00Z,2022-07-01T04:45+00:00Z,10YES-REE------0,MAW,25192
2022-07-01T04:45+00:00Z,2022-07-01T05:00+00:00Z,10YES-REE------0,MAW,25884
2022-07-01T05:00+00:00Z,2022-07-01T05:15+00:00Z,10YES-REE------0,MAW,26512
2022-07-01T05:15+00:00Z,2022-07-01T05:30+00:00Z,10YES-REE------0,MAW,26940
2022-07-01T05:30+00:00Z,2022-07-01T05:45+00:00Z,10YES-REE------0,MAW,27032
2022-07-01T05:45+00:00Z,2022-07-01T06:00+00:00Z,10YES-REE------0,MAW,27340
2022-07-01T06:00+00:00Z,2022-07-01T06:15+00:00Z,10YES-REE------0,MAW,27880
2022-07-01T06:15+00:00Z,2022-07-01T06:30+00:00Z,10YES-REE------0,MAW,28188
2022-07-01T06:30+00:00Z,2022-07-01T06:45+00:00Z,10YES-REE------0,MAW,28476
2022-07-01T06:45+00:00Z,2022-07-01T07:00+00:00Z,10YES-REE------0,MAW,28720
2022-07-01T07:00+00:00Z,2022-07-01T07:15+00:00Z,10YES-REE------0,MAW,29028
2022-07-01T07:15+00:00Z,2022-07-01T07:30+00:00Z,10YES-REE------0,MAW,29272
2022-07-01T07:30+00:00Z,2022-07-01T07:45+00:00Z,10YES-REE------0,MAW,29608
2022-07-01T07:45+00:00Z,2022-07-01T08:00+00:00Z,10YES-REE------0,MAW,29900
2022-07-01T08:00+00:00Z,2022-07-01T08:15+00:00Z,10YES-REE------0,MAW,30008
2022-07-01T08:15+00:00Z,2022-07-01T08:30+00:00Z,10YES-REE------0,MAW,30208
2022-07-01T08:30+00:00Z,2022-07-01T08:45+00:00Z,10YES-REE------0,MAW,30392
2022-07-01T08:45+00:00Z,2022-07-01T09:00+00:00Z,10YES-REE------0,MAW,30608
2022-07-01T09:00+00:00Z,2022-07-01T09:15+00:00Z,10YES-REE------0,MAW,30652
2022-07-01T09:15+00:00Z,2022-07-01T09:30+00:00Z,10YES-REE------0,MAW,30744
2022-07-01T09:30+00:00Z,2022-07-01T09:45+00:00Z,10YES-REE------0,MAW,30940
2022-07-01T09:45+00:00Z,2022-07-01T10:00+00:00Z,10YES-REE------0,MAW,31120
2022-07-01T10:00+00:00Z,2022-07-01T10:15+00:00Z,10YES-REE------0,MAW,31288
2022-07-01T10:15+00:00Z,2022-07-01T10:30+00:00Z,10YES-REE------0,MAW,31340
2022-07-01T10:30+00:00Z,2022-07-01T10:45+00:00Z,10YES-REE------0,MAW,31544
2022-07-01T10:45+00:00Z,2022-07-01T11:00+00:00Z,10YES-REE------0,MAW,31488
2022-07-01T11:00+00:00Z,2022-07-01T11:15+00:00Z,10YES-REE------0,MAW,31620
2022-07-01T11:15+00:00Z,2022-07-01T11:30+00:00Z,10YES-REE------0,MAW,31632
2022-07-01T11:30+00:00Z,2022-07-01T11:45+00:00Z,10YES-REE------0,MAW,31524
2022-07-01T11:45+00:00Z,2022-07-01T12:00+00:00Z,10YES-REE------0,MAW,31344
2022-07-01T12:00+00:00Z,2022-07-01T12:15+00:00Z,10YES-REE------0,MAW,31416
2022-07-01T12:15+00:00Z,2022-07-01T12:30+00:00Z,10YES-REE------0,MAW,31292
2022-07-01T12:30+00:00Z,2022-07-01T12:45+00:00Z,10YES-REE------0,MAW,30976
2022-07-01T12:45+00:00Z,2022-07-01T13:00+00:00Z,10YES-REE------0,MAW,30704
2022-07-01T13:00+00:00Z,2022-07-01T13:15+00:00Z,10YES-REE------0,MAW,30556
2022-07-01T13:15+00:00Z,2022-07-01T13:30+00:00Z,10YES-REE------0,MAW,30540
2022-07-01T13:30+00:00Z,2022-07-01T13:45+00:00Z,10YES-REE------0,MAW,30276
2022-07-01T13:45+00:00Z,2022-07-01T14:00+00:00Z,10YES-REE------0,MAW,30240
2022-07-01T14:00+00:00Z,2022-07-01T14:15+00:00Z,10YES-REE------0,MAW,30136
2022-07-01T14:15+00:00Z,2022-07-01T14:30+00:00Z,10YES-REE------0,MAW,30052
2022-07-01T14:30+00:00Z,2022-07-01T14:45+00:00Z,10YES-REE------0,MAW,29944
2022-07-01T14:45+00:00Z,2022-07-01T15:00+00:00Z,10YES-REE------0,MAW,30048
2022-07-01T15:00+00:00Z,2022-07-01T15:15+00:00Z,10YES-REE------0,MAW,30068
2022-07-01T15:15+00:00Z,2022-07-01T15:30+00:00Z,10YES-REE------0,MAW,30056
2022-07-01T15:30+00:00Z,2022-07-01T15:45+00:00Z,10YES-REE------0,MAW,30100
2022-07-01T15:45+00:00Z,2022-07-01T16:00+00:00Z,10YES-REE------0,MAW,29948
