StartTime,EndTime,AreaID,UnitName,Load
2022-06-30T23:30+00:00Z,2022-07-01T00:00+00:00Z,10Y1001A1001A92E,MAW,654
2022-07-01T00:00+00:00Z,2022-07-01T00:30+00:00Z,10Y1001A1001A92E,MAW,639
2022-07-01T00:30+00:00Z,2022-07-01T01:00+00:00Z,10Y1001A1001A92E,MAW,617
2022-07-01T01:00+00:00Z,2022-07-01T01:30+00:00Z,10Y1001A1001A92E,MAW,611
2022-07-01T01:30+00:00Z,2022-07-01T02:00+00:00Z,10Y1001A1001A92E,MAW,603
2022-07-01T02:00+00:00Z,2022-07-01T02:30+00:00Z,10Y1001A1001A92E,MAW,596
2022-07-01T02:30+00:00Z,2022-07-01T03:00+00:00Z,10Y1001A1001A92E,MAW,600
2022-07-01T03:00+00:00Z,2022-07-01T03:30+00:00Z,10Y1001A1001A92E,MAW,586
2022-07-01T03:30+00:00Z,2022-07-01T04:00+00:00Z,10Y1001A1001A92E,MAW,581
2022-07-01T04:00+00:00Z,2022-07-01T04:30+00:00Z,10Y1001A1001A92E,MAW,593
2022-07-01T04:30+00:00Z,2022-07-01T05:00+00:00Z,10Y1001A1001A92E,MAW,636
2022-07-01T05:00+00:00Z,2022-07-01T05:30+00:00Z,10Y1001A1001A92E,MAW,697
2022-07-01T05:30+00:00Z,2022-07-01T06:00+00:00Z,10Y1001A1001A92E,MAW,756
2022-07-01T06:00+00:00Z,2022-07-01T06:30+00:00Z,10Y1001A1001A92E,MAW,831
2022-07-01T06:30+00:00Z,2022-07-01T07:00+00:00Z,10Y1001A1001A92E,MAW,887
2022-07-01T07:00+00:00Z,2022-07-01T07:30+00:00Z,10Y1001A1001A92E,MAW,948
2022-07-01T07:30+00:00Z,2022-07-01T08:00+00:00Z,10Y1001A1001A92E,MAW,981
2022-07-01T08:00+00:00Z,2022-07-01T08:30+00:00Z,10Y1001A1001A92E,MAW,995
2022-07-01T08:30+00:00Z,2022-07-01T09:00+00:00Z,10Y1001A1001A92E,MAW,996
2022-07-01T09:00+00:00Z,2022-07-01T09:30+00:00Z,10Y1001A1001A92E,MAW,999
2022-07-01T09:30+00:00Z,2022-07-01T10:00+00:00Z,10Y1001A1001A92E,MAW,1000
2022-07-01T10:00+00:00Z,2022-07-01T10:30+00:00Z,10Y1001A1001A92E,MAW,990
2022-07-01T10:30+00:00Z,2022-07-01T11:00+00:00Z,10Y1001A1001A92E,MAW,979
2022-07-01T11:00+00:00Z,2022-07-01T11:30+00:00Z,10Y1001A1001A92E,MAW,994
2022-07-01T11:30+00:00Z,2022-07-01T12:00+00:00Z,10Y1001A1001A92E,MAW,988
2022-07-01T12:00+00:00Z,2022-07-01T12:30+00:00Z,10Y1001A1001A92E,MAW,970
2022-07-01T12:30+00:00Z,2022-07-01T13:00+00:00Z,10Y1001A1001A92E,MAW,944
2022-07-01T13:00+00:00Z,2022-07-01T13:30+00:00Z,10Y1001A1001A92E,MAW,911
2022-07-01T13:30+00:00Z,2022-07-01T14:00+00:00Z,10Y1001A1001A92E,MAW,833
2022-07-01T14:00+00:00Z,2022-07-01T14:30+00:00Z,10Y1001A1001A92E,MAW,887
2022-07-01T14:30+00:00Z,2022-07-01T15:00+00:00Z,10Y1001A1001A92E,MAW,890
2022-07-01T15:00+00:00Z,2022-07-01T15:30+00:00Z,10Y1001A1001A92E,MAW,909
2022-07-01T15:30+00:00Z,2022-07-01T16:00+00:00Z,10Y1001A1001A92E,MAW,938
2022-07-01T16:00+00:00Z,2022-07-01T16:30+00:00Z,10Y1001A1001A92E,MAW,972
2022-07-01T16:30+00:00Z,2022-07-01T17:00+00:00Z,10Y1001A1001A92E,MAW,967
2022-07-01T17:00+00:00Z,2022-07-01T17:30+00:00Z,10Y1001A1001A92E,MAW,955
2022-07-01T17:30+00:00Z,2022-07-01T18:00+00:00Z,10Y1001A1001A92E,MAW,923
2022-07-01T18:00+00:00Z,2022-07-01T18:30+00:00Z,10Y1001A1001A92E,MAW,903
2022-07-01T18:30+00:00Z,2022-07-01T19:00+00:00Z,10Y1001A1001A92E,MAW,881
2022-07-01T19:00+00:00Z,2022-07-01T19:30+00:00Z,10Y1001A1001A92E,MAW,853
2022-07-01T19:30+00:00Z,2022-07-01T20:00+00:00Z,10Y1001A1001A92E,MAW,836
2022-07-01T20:00+00:00Z,2022-07-01T20:30+00:00Z,10Y1001A1001A92E,MAW,805
2022-07-01T20:30+00:00Z,2022-07-01T21:00+00:00Z,10Y1001A1001A92E,MAW,791
2022-07-01T21:00+00:00Z,2022-07-01T21:30+00:00Z,10Y1001A1001A92E,MAW,780
2022-07-01T21:30+00:00Z,2022-07-01T22:00+00:00Z,10Y1001A1001A92E,MAW,743
2022-07-01T22:00+00:00Z,2022-07-01T22:30+00:00Z,10Y1001A1001A92E,MAW,700
2022-07-01T22:30+00:00Z,2022-07-01T23:00+00:00Z,10Y1001A1001A92E,MAW,655
2022-07-01T23:00+00:00Z,2022-07-01T23:30+00:00Z,10Y1001A1001A92E,MAW,621
2022-07-01T23:30+00:00Z,2022-07-02T00:00+00:00Z,10Y1001A1001A92E,MAW,596
2022-07-02T00:00+00:00Z,2022-07-02T00:30+00:00Z,10Y1001A1001A92E,MAW,576
2022-07-02T00:30+00:00Z,2022-07-02T01:00+00:00Z,10Y1001A1001A92E,MAW,568
2022-07-02T01:00+00:00Z,2022-07-02T01:30+00:00Z,10Y1001A1001A92E,MAW,569
2022-07-02T01:30+00:00Z,2022-07-02T02:00+00:00Z,10Y1001A1001A92E,MAW,559
2022-07-02T02:00+00:00Z,2022-07-02T02:30+00:00Z,10Y1001A1001A92E,MAW,547
2022-07-02T02:30+00:00Z,2022-07-02T03:00+00:00Z,10Y1001A1001A92E,MAW,539
2022-07-02T03:00+00:00Z,2022-07-02T03:30+00:00Z,10Y1001A1001A92E,MAW,521
2022-07-02T03:30+00:00Z,2022-07-02T04:00+00:00Z,10Y1001A1001A92E,MAW,514
2022-07-02T04:00+00:00Z,2022-07-02T04:30+00:00Z,10Y1001A1001A92E,MAW,518
2022-07-02T04:30+00:00Z,2022-07-02T05:00+00:00Z,10Y1001A1001A92E,MAW,533
2022-07-02T05:00+00:00Z,2022-07-02T05:30+00:00Z,10Y1001A1001A92E,MAW,562
2022-07-02T05:30+00:00Z,2022-07-02T06:00+00:00Z,10Y1001A1001A92E,MAW,593
2022-07-02T06:00+00:00Z,2022-07-02T06:30+00:00Z,10Y1001A1001A92E,MAW,640
2022-07-02T06:30+00:00Z,2022-07-02T07:00+00:00Z,10Y1001A1001A92E,MAW,688
2022-07-02T07:00+00:00Z,2022-07-02T07:30+00:00Z,10Y1001A1001A92E,MAW,729
2022-07-02T07:30+00:00Z,2022-07-02T08:00+00:00Z,10Y1001A1001A92E,MAW,774
2022-07-02T08:00+00:00Z,2022-07-02T08:30+00:00Z,10Y1001A1001A92E,MAW,787
2022-07-02T08:30+00:00Z,2022-07-02T09:00+00:00Z,10Y1001A1001A92E,MAW,805
2022-07-02T09:00+00:00Z,2022-07-02T09:30+00:00Z,10Y1001A1001A92E,MAW,815
2022-07-02T09:30+00:00Z,2022-07-02T10:00+00:00Z,10Y1001A1001A92E,MAW,812
2022-07-02T10:00+00:00Z,2022-07-02T10:30+00:00Z,10Y1001A1001A92E,MAW,801
2022-07-02T10:30+00:00Z,2022-07-02T11:00+00:00Z,10Y1001A1001A92E,MAW,803
2022-07-02T11:00+00:00Z,2022-07-02T11:30+00:00Z,10Y1001A1001A92E,MAW,810
2022-07-02T11:30+00:00Z,2022-07-02T12:00+00:00Z,10Y1001A1001A92E,MAW,794
2022-07-02T12:00+00:00Z,2022-07-02T12:30+00:00Z,10Y1001A1001A92E,MAW,785
2022-07-02T12:30+00:00Z,2022-07-02T13:00+00:00Z,10Y1001A1001A92E,MAW,762
2022-07-02T13:00+00:00Z,2022-07-02T13:30+00:00Z,10Y1001A1001A92E,MAW,747
2022-07-02T13:30+00:00Z,2022-07-02T14:00+00:00Z,10Y1001A1001A92E,MAW,744
2022-07-02T14:00+00:00Z,2022-07-02T14:30+00:00Z,10Y1001A1001A92E,MAW,746
2022-07-02T14:30+00:00Z,2022-07-02T15:00+00:00Z,10Y1001A1001A92E,MAW,757
2022-07-02T15:00+00:00Z,2022-07-02T15:30+00:00Z,10Y1001A1001A92E,MAW,768
2022-07-02T15:30+00:00Z,2022-07-02T16:00+00:00Z,10Y1001A1001A92E,MAW,805
2022-07-02T16:00+00:00Z,2022-07-02T16:30+00:00Z,10Y1001A1001A92E,MAW,841
2022-07-02T16:30+00:00Z,2022-07-02T17:00+00:00Z,10Y1001A1001A92E,MAW,850
