index,DE_B01,DE_B09,DE_B10,DE_B11,DE_B12,DE_B15,DE_B16,DE_B18,DE_B19,DE_load,DE_surplus,DK_B01,DK_B16,DK_B18,DK_B19,DK_load,DK_surplus,HU_B01,HU_B09,HU_B11,HU_B12,HU_B15,HU_B16,HU_B19,HU_load,HU_surplus,IT_B01,IT_B09,IT_B10,IT_B11,IT_B12,IT_B16,IT_B18,IT_B19,IT_load,IT_surplus,NE_B01,NE_B11,NE_B16,NE_B18,NE_B19,NE_load,NE_surplus,PO_B01,PO_B10,PO_B11,PO_B12,PO_B16,PO_B19,PO_load,PO_surplus,SE_B12,SE_B13,SE_B16,SE_B19,SE_load,SE_surplus,SP_B01,SP_B09,SP_B10,SP_B11,SP_B12,SP_B13,SP_B15,SP_B16,SP_B18,SP_B19,SP_load,SP_surplus,UK_B19,UK_load,UK_surplus,y,year,month,day,hour,minute,second
0,4333,26,2835,1424,119,126,0,5688,24850,42196,-2795,468.0,1.0,1875.0,1308.0,3314.0,338.0,132,0,11,9,7,0,126,4254,-3969,677.0,639.0,104.0,2115.0,242.0,0.0,0.0,2024.0,21121.0,-15320.0,21,0,1,2016,1516,10326,-6772,221.0,0.0,176.0,0.0,0.0,4244.0,14438.0,-9797.0,7015.0,0.0,0.0,4045.0,15331.0,-4271.0,533,0,1711,1082,1347,0,98,75,0,6398,20827,-9583,865.0,677.0,188.0,3,2021,12,31,23,0,0
1,17295,104,14490,5690,378,504,0,23112,95800,165125,-7752,511.0,1.0,1904.0,1189.0,3218.0,387.0,523,0,44,36,30,0,743,16457,-15081,683.0,640.0,131.0,1951.0,200.0,0.0,0.0,2140.0,19756.0,-14011.0,85,0,4,6940,5739,40706,-27938,221.0,0.0,199.0,0.0,0.0,4071.0,13935.0,-9444.0,7086.0,0.0,0.0,4021.0,15331.0,-4224.0,524,0,1884,1046,746,0,96,75,0,6456,19530,-8703,865.0,1244.0,-379.0,3,2022,1,1,0,0,0
2,17322,106,14738,5683,132,504,0,21798,91464,160415,-8668,519.0,1.0,1738.0,1051.0,3126.0,183.0,516,0,44,36,28,0,902,15426,-13900,670.0,639.0,700.0,1831.0,155.0,0.0,0.0,2233.0,18685.0,-12457.0,85,0,4,5548,5494,39465,-28334,223.0,0.0,216.0,0.0,0.0,3997.0,13579.0,-9143.0,7088.0,0.0,0.0,3948.0,15270.0,-4234.0,532,0,2515,1045,733,0,96,75,0,6144,18383,-7243,865.0,1131.0,-266.0,3,2022,1,1,1,0,0
3,17343,108,16031,5685,167,504,0,21818,86282,158035,-10097,558.0,1.0,1436.0,1048.0,3080.0,-37.0,507,0,44,36,28,0,945,14781,-13221,656.0,648.0,735.0,1842.0,158.0,0.0,0.0,2368.0,18124.0,-11717.0,86,0,4,5550,5684,38923,-27599,225.0,0.0,238.0,0.0,0.0,4105.0,13397.0,-8829.0,6746.0,0.0,0.0,3763.0,15150.0,-4641.0,528,0,2913,1049,755,0,98,75,0,5943,17680,-6319,865.0,1091.0,-226.0,3,2022,1,1,2,0,0
4,17354,108,15190,5676,299,504,0,21773,80912,157016,-15200,468.0,1.0,1505.0,878.0,3044.0,-192.0,506,0,44,36,28,0,673,14630,-13343,649.0,648.0,334.0,1818.0,160.0,0.0,0.0,2151.0,18400.0,-12640.0,85,0,4,5709,5492,38211,-26921,229.0,0.0,245.0,0.0,0.0,4085.0,13364.0,-8805.0,7173.0,0.0,0.0,3597.0,15387.0,-4617.0,533,0,2957,1031,719,0,96,75,0,5836,17396,-6149,865.0,969.0,-104.0,1,2022,1,1,3,0,0
5,17401,108,13054,5637,270,504,0,17212,77784,154552,-22582,505.0,1.0,1391.0,827.0,3130.0,-406.0,504,0,44,36,28,0,697,14688,-13379,644.0,649.0,299.0,1930.0,159.0,0.0,0.0,1820.0,19223.0,-13722.0,85,0,4,5860,5144,38146,-27053,230.0,0.0,242.0,0.0,0.0,3902.0,13449.0,-9075.0,7497.0,0.0,0.0,3355.0,15737.0,-4885.0,534,0,2854,1016,611,0,93,75,0,5685,17544,-6676,865.0,896.0,-31.0,1,2022,1,1,4,0,0
6,17573,108,10861,5640,132,504,0,18988,75539,154275,-24930,554.0,1.0,1407.0,617.0,3238.0,-659.0,511,0,44,36,27,0,832,14960,-13510,642.0,648.0,702.0,2192.0,206.0,43.0,0.0,1793.0,19738.0,-13512.0,85,0,4,6295,4644,38956,-27928,232.0,0.0,234.0,0.0,0.0,3837.0,13444.0,-9141.0,7973.0,0.0,0.0,3135.0,16054.0,-4946.0,539,0,2850,1018,779,0,91,75,0,5583,17866,-6931,865.0,871.0,-6.0,1,2022,1,1,5,0,0
7,17839,108,9205,5652,152,504,7,18877,70492,157356,-34520,720.0,1.0,1098.0,474.0,3378.0,-1085.0,524,0,44,36,28,127,868,15034,-13407,644.0,648.0,682.0,2484.0,239.0,900.0,0.0,1759.0,20289.0,-12933.0,83,0,4,6252,4082,39968,-29547,231.0,0.0,227.0,0.0,21.0,3891.0,13527.0,-9157.0,8820.0,0.0,0.0,2937.0,16455.0,-4698.0,527,0,2992,1029,768,0,95,144,0,5546,17806,-6705,865.0,860.0,5.0,1,2022,1,1,6,0,0
8,18149,108,8717,5713,130,504,2175,16437,65575,163000,-45492,714.0,12.0,734.0,346.0,3537.0,-1731.0,522,0,44,36,30,1029,786,15259,-12812,649.0,647.0,632.0,2204.0,201.0,2457.0,0.0,1847.0,21469.0,-12832.0,84,0,5,5794,4682,40808,-30243,234.0,34.0,207.0,0.0,114.0,3951.0,14202.0,-9662.0,9060.0,0.0,1.0,2713.0,16943.0,-5169.0,525,0,3305,1037,729,0,94,2024,0,5625,18533,-5194,865.0,922.0,-57.0,1,2022,1,1,7,0,0
9,18229,100,6395,5739,86,504,10187,16631,61218,171858,-52769,675.0,45.0,703.0,232.0,3714.0,-2059.0,520,0,44,36,32,2264,701,15551,-11954,647.0,647.0,133.0,2056.0,184.0,3817.0,0.0,1648.0,22735.0,-13603.0,84,0,33,6484,4754,41742,-30387,232.0,22.0,197.0,0.0,219.0,3732.0,14851.0,-10449.0,9220.0,0.0,7.0,2441.0,17476.0,-5808.0,508,0,3362,1049,747,0,92,5220,0,5201,20018,-3839,865.0,1017.0,-152.0,1,2022,1,1,8,0,0
